t (s),V (mV)
0,12.7756
1.048,12.7461
2.098,12.7179
3.116,12.6863
4.116,12.6555
5.115,12.6238
6.116,12.5905
7.115,12.5575
8.115,12.5244
9.115,12.4907
10.115,12.4586
11.115,12.4248
12.116,12.3911
13.116,12.3569
14.115,12.3238
15.115,12.2883
16.12,12.2554
17.115,12.221
18.115,12.187
19.115,12.1537
20.115,12.1207
21.115,12.0876
22.115,12.0549
23.115,12.0215
24.115,11.9889
25.115,11.9561
26.116,11.9235
27.116,11.8912
28.115,11.8588
29.116,11.8262
30.115,11.7943
31.116,11.7619
32.115,11.7297
33.115,11.6984
34.115,11.6665
35.115,11.6352
36.115,11.6032
37.115,11.5723
38.115,11.5413
39.115,11.5098
40.115,11.4788
41.115,11.449
42.115,11.4176
43.115,11.3868
44.115,11.3562
45.115,11.3258
46.12,11.2937
47.116,11.2664
48.116,11.2362
49.116,11.2056
50.116,11.1753
51.116,11.1459
52.115,11.1152
53.115,11.0874
54.115,11.0564
55.115,11.0266
56.115,10.9975
57.116,10.9679
58.116,10.9389
59.116,10.9104
60.115,10.8813
61.116,10.8523
62.115,10.8251
63.115,10.7961
64.12,10.7657
65.116,10.7387
66.115,10.7104
67.115,10.6839
68.115,10.6556
69.115,10.6277
70.115,10.6
71.115,10.5735
72.114,10.5439
73.114,10.5173
74.114,10.4901
75.114,10.4624
76.114,10.4357
77.114,10.4078
78.114,10.3812
79.114,10.3535
80.115,10.3268
81.115,10.2996
82.12,10.2717
83.114,10.2461
84.114,10.2191
85.114,10.192
86.114,10.1667
87.114,10.1385
88.114,10.1124
89.115,10.0864
90.115,10.0601
91.115,10.0335
92.114,10.0074
93.115,9.9817
94.12,9.955
95.116,9.9307
96.115,9.9051
97.115,9.8794
98.115,9.853
99.115,9.828
100.116,9.8023
101.115,9.7771
102.115,9.7511
103.116,9.7261
104.115,9.7014
105.115,9.6757
106.115,9.6506
107.115,9.6262
108.115,9.6003
109.115,9.5766
110.115,9.5517
111.115,9.5271
112.115,9.5016
113.116,9.4765
114.116,9.4518
115.116,9.4278
116.115,9.4026
117.115,9.3789
118.12,9.3547
119.115,9.3306
120.115,9.307
121.115,9.2834
122.116,9.2597
123.115,9.236
124.12,9.211
125.115,9.1884
126.115,9.164
127.115,9.2238
128.115,9.3054
129.115,9.2611
130.12,9.235
131.116,9.2098
132.115,9.1841
133.115,9.1596
134.115,9.1344
135.115,9.1098
136.12,9.0858
137.115,9.0637
138.115,9.0412
139.115,9.0178
140.115,8.9955
141.116,8.9729
142.115,8.9504
143.115,8.9272
144.115,8.9045
145.115,8.8812
146.115,8.8594
147.115,8.8372
148.116,8.8146
149.115,8.7919
150.115,8.7698
151.116,8.7472
152.116,8.7257
153.132,8.7031
154.115,8.6823
155.115,8.6588
156.115,8.6355
157.115,8.615
158.115,8.5932
159.115,8.5717
160.116,8.5504
161.116,8.5283
162.115,8.5063
163.115,8.4845
164.115,8.4636
165.115,8.443
166.116,8.4228
167.116,8.4008
168.115,8.3797
169.115,8.3588
170.116,8.3375
171.116,8.3166
172.115,8.2965
173.115,8.2751
174.115,8.2539
175.115,8.2341
176.115,8.213
177.115,8.1921
178.116,8.1709
179.115,8.1507
180.115,8.1301
181.116,8.1111
182.116,8.0901
183.116,8.0691
184.115,8.0485
185.115,8.0299
186.116,8.0095
187.116,7.9901
188.115,7.9702
189.115,7.9497
190.115,7.9305
191.115,7.9101
192.115,7.9206
193.115,7.9035
194.115,7.8843
195.116,7.867
196.115,7.8472
197.116,7.8334
198.115,7.8137
199.116,7.795
200.115,7.7767
201.116,7.757
202.121,7.7386
203.115,7.7198
204.115,7.7003
205.115,7.6804
206.115,7.6604
207.115,7.6396
208.115,7.6193
209.115,7.6002
210.115,7.581
211.116,7.5615
212.116,7.5421
213.116,7.5221
214.116,7.5019
215.116,7.4825
216.115,7.464
217.115,7.445
218.115,7.4267
219.115,7.4083
220.12,7.3884
221.116,7.3707
222.116,7.3523
223.116,7.3341
224.116,7.3154
225.116,7.2977
226.115,7.2791
227.115,7.2613
228.116,7.242
229.115,7.2246
230.115,7.2056
231.115,7.1879
232.115,7.1698
233.115,7.1515
234.115,7.134
235.115,7.1167
236.115,7.0984
237.115,7.0805
238.115,7.0637
239.115,7.0463
240.115,7.0277
241.115,7.0116
242.115,6.9941
243.115,6.9763
244.115,6.9595
245.115,6.942
246.115,6.9228
247.115,6.9062
248.115,6.8898
249.116,6.8727
250.115,6.8559
251.115,6.8377
252.115,6.8213
253.115,6.8053
254.115,6.7879
255.116,6.7711
256.115,6.7536
257.115,6.7372
258.116,6.7204
259.116,6.7035
260.116,6.6872
261.115,6.6704
262.116,6.6539
263.115,6.6377
264.115,6.6212
265.115,6.6043
266.115,6.5878
267.115,6.5722
268.116,6.556
269.115,6.5397
270.115,6.5236
271.115,6.5067
272.115,6.4904
273.116,6.4741
274.116,6.4581
275.115,6.4413
276.115,6.4255
277.115,6.4101
