Time,Object Name,Status,Value,Units,Alert ID,Priority
18.03.2023 9:20:52,TIC Gauge 2,5,9.9000e+09,59,0,0
18.03.2023 9:20:52,TIC Turbo Speed,,1.6,,0,0
18.03.2023 9:20:52,TIC Turbo Power,,6.1,,0,0
18.03.2023 9:20:52,TIC Gauge 3,5,9.9000e+09,59,0,0
18.03.2023 9:20:52,TIC Gauge 1,11,1.0000e+05,59,0,0
18.03.2023 9:20:54,TIC Turbo Speed,,1.6,,0,0
18.03.2023 9:20:54,TIC Turbo Power,,5.8,,0,0
18.03.2023 9:20:54,TIC Gauge 1,11,1.0000e+05,59,0,0
18.03.2023 9:20:54,TIC Gauge 2,5,9.9000e+09,59,0,0
18.03.2023 9:20:54,TIC Gauge 3,5,9.9000e+09,59,0,0
18.03.2023 9:20:56,TIC Turbo Speed,,1.6,,0,0
18.03.2023 9:20:56,TIC Turbo Power,,7.5,,0,0
18.03.2023 9:20:56,TIC Gauge 1,11,1.0000e+05,59,0,0
18.03.2023 9:20:56,TIC Gauge 2,5,9.9000e+09,59,0,0
18.03.2023 9:20:56,TIC Gauge 3,5,9.9000e+09,59,0,0
18.03.2023 9:20:58,TIC Turbo Speed,,1.6,,0,0
18.03.2023 9:20:58,TIC Turbo Power,,7.3,,0,0
18.03.2023 9:20:58,TIC Gauge 1,11,1.0000e+05,59,0,0
18.03.2023 9:20:58,TIC Gauge 2,5,9.9000e+09,59,0,0
18.03.2023 9:20:58,TIC Gauge 3,5,9.9000e+09,59,0,0
18.03.2023 9:21:00,TIC Turbo Speed,,1.6,,0,0
18.03.2023 9:21:00,TIC Turbo Power,,7.5,,0,0
18.03.2023 9:21:00,TIC Gauge 1,11,1.0000e+05,59,0,0
18.03.2023 9:21:01,TIC Gauge 2,5,9.9000e+09,59,0,0
18.03.2023 9:21:01,TIC Gauge 3,5,9.9000e+09,59,0,0
18.03.2023 9:21:02,TIC Turbo Speed,,1.6,,0,0
18.03.2023 9:21:02,TIC Turbo Power,,6.1,,0,0
18.03.2023 9:21:02,TIC Gauge 1,11,1.0000e+05,59,0,0
18.03.2023 9:21:03,TIC Gauge 2,5,9.9000e+09,59,0,0
18.03.2023 9:21:03,TIC Gauge 3,5,9.9000e+09,59,0,0
18.03.2023 9:21:04,TIC Turbo Speed,,1.6,,0,0
18.03.2023 9:21:05,TIC Turbo Power,,6.1,,0,0
18.03.2023 9:21:05,TIC Gauge 1,11,1.0000e+05,59,0,0
18.03.2023 9:21:05,TIC Gauge 2,5,9.9000e+09,59,0,0
18.03.2023 9:21:05,TIC Gauge 3,5,9.9000e+09,59,0,0
18.03.2023 9:21:06,TIC Gauge 2,5,9.9000e+09,59,0,0
18.03.2023 9:21:07,TIC Turbo Speed,,1.6,,0,0
