Time,Object Name,Status,Value,Units,Alert ID,Priority
20.03.2023 9:26:26,TIC Turbo Speed,,1.6,,0,0
20.03.2023 9:26:26,TIC Turbo Power,,7.0,,0,0
20.03.2023 9:26:26,TIC Gauge 1,11,1.0000e+05,59,0,0
20.03.2023 9:26:26,TIC Gauge 2,5,9.9000e+09,59,0,0
20.03.2023 9:26:26,TIC Gauge 3,5,9.9000e+09,59,0,0
20.03.2023 9:26:28,TIC Turbo Speed,,1.6,,0,0
20.03.2023 9:26:28,TIC Turbo Power,,6.1,,0,0
20.03.2023 9:26:28,TIC Gauge 1,11,1.0000e+05,59,0,0
20.03.2023 9:26:28,TIC Gauge 2,5,9.9000e+09,59,0,0
20.03.2023 9:26:28,TIC Gauge 3,5,9.9000e+09,59,0,0
20.03.2023 9:26:30,TIC Turbo Speed,,1.6,,0,0
20.03.2023 9:26:30,TIC Turbo Power,,8.4,,0,0
20.03.2023 9:26:30,TIC Gauge 1,11,1.0000e+05,59,0,0
20.03.2023 9:26:30,TIC Gauge 2,5,9.9000e+09,59,0,0
20.03.2023 9:26:30,TIC Gauge 3,5,9.9000e+09,59,0,0
20.03.2023 9:26:32,TIC Turbo Speed,,1.6,,0,0
20.03.2023 9:26:32,TIC Turbo Power,,7.5,,0,0
20.03.2023 9:26:32,TIC Gauge 1,11,1.0000e+05,59,0,0
20.03.2023 9:26:32,TIC Gauge 2,5,9.9000e+09,59,0,0
20.03.2023 9:26:32,TIC Gauge 3,5,9.9000e+09,59,0,0
20.03.2023 9:26:34,TIC Turbo Speed,,1.6,,0,0
20.03.2023 9:26:34,TIC Turbo Power,,6.1,,0,0
20.03.2023 9:26:34,TIC Gauge 1,11,1.0000e+05,59,0,0
20.03.2023 9:26:34,TIC Gauge 2,5,9.9000e+09,59,0,0
20.03.2023 9:26:34,TIC Gauge 3,5,9.9000e+09,59,0,0
20.03.2023 9:26:36,TIC Turbo Speed,,1.6,,0,0
20.03.2023 9:26:36,TIC Turbo Power,,7.0,,0,0
